DataType,LocationID,Category,SubCategory,Score,Notes
"TechnicalAssessment","Gray Center","functionality","technology","0",""
"TechnicalAssessment","Gray Center","functionality","spaceSize","0",""
"TechnicalAssessment","Gray Center","functionality","telecomm","0",""
"TechnicalAssessment","Gray Center","functionality","fireAlarm","0",""
"TechnicalAssessment","Gray Center","architecture","entrances","0",""
"TechnicalAssessment","Gray Center","architecture","exterior","5",""
"TechnicalAssessment","Gray Center","architecture","interiorFinishes","0",""
"TechnicalAssessment","Gray Center","architecture","codesAndAccessibility","0",""
"TechnicalAssessment","Gray Center","architecture","lifeSafety","0",""
"TechnicalAssessment","Gray Center","engineering","superstructure","0",""
"TechnicalAssessment","Gray Center","engineering","mechanical","0",""
"TechnicalAssessment","Gray Center","engineering","fireProtection","0",""
"TechnicalAssessment","Gray Center","engineering","conveyingSystems","0",""
"TechnicalAssessment","Gray Center","engineering","lighting","0",""
"TechnicalAssessment","Gray Center","engineering","plumbing","0",""
"TechnicalAssessment","Gray Center","engineering","power","0",""

DataType,LocationID,ID,Type,Persona,Latitude,Longitude,Comment,PathCoordinatesJSON
"Marker","Daugherty Student Engagement Center","1Xd570CVqutxCJW9g6zl","This space supports my teaching and/or professional work effectively","staff","40.59108857545087","-98.37380191891248","",
"Marker","McCormick Hall","1YFFToO0WmiTPfAqTOF0","The furniture in this space is uncomfortable or not functional","student","40.59237220893556","-98.37376542533738","",
"Marker","Scott Studio Theatre","1aBDhNOdW7FRgj7aaSp5","The furniture in this space is uncomfortable or not functional","student","40.59221596169141","-98.37331425632081","I would like to watch the plays comfortably",
"Marker","Calvin H. French Memorial Chapel ","1apucSMUHZxIzEQxBQ5G","I would like to use this space more, but it needs improvement","student","40.59177212442708","-98.37334651846986","",
"Marker","Gray Center","1b522a5yt9xh9p6dCxdi","I rarely or never use this space","student","40.595492692944134","-98.37307903412777","",
"Marker","Kiewit Building","1cQ8y6jg5JxwjjQaLl4N","This space feels outdated or run-down","student","40.5904108578907","-98.37322969841127","Could use some updates",
"Marker","Kiewit Building","1dYAKU5rqrv0xCKyK7H0","I would like to use this space more, but it needs improvement","student","40.59036867339901","-98.37321441904595","",
"Marker","","1eNmK1k6Dvj8gnRRa7xa","I rarely or never use this space","student","40.59378933567663","-98.36950746115531","",
"Marker","Morrison-Reeves Science Center","1fhffEfgNB6ez87imv45","This is one of my go-to study spots","student","40.591298113954764","-98.37205712204161","The furniture and overall design of this building is why I love to study here. However, this year the ac has been hotter than I like.",
"Marker","Physical Fitness Facility","1fwwkrvqXj7zbtYvel4J","I would like to use this space more, but it needs improvement","student","40.59472115249568","-98.36963317227796","",
"Marker","","1gANnLaTbP3rppl30J4l","This is a go-to hangout spot for me and my friends","student","40.59255581228953","-98.37253855024919","",
"Marker","Physical Fitness Facility","1h4nbERKvQX8d0qRV5pD","I rarely or never use this space","student","40.5948479640401","-98.36978621080372","",
"Marker","Perkins Library","1hRIWkk9vW9T3sGB8oKJ","This is one of my go-to study spots","student","40.59019603715811","-98.37449937521146","",
"Marker","Lloyd Wilson Field/Stadium","1hYD6WYCys1ylJ5uJgVe","This is a go-to hangout spot for me and my friends","student","40.596097823128105","-98.36926918205965","",
"Marker","Hayes M. Fuhr Hall of Music","1jZSiNYsBYNav48w3ztw","This space feels outdated or run-down","student","40.594740798962306","-98.37160642276473","",
"Marker","McCormick Hall","1kCRFQZ4VvaqrHqCf0s5","The lighting or temperature in thei space makes it uncomfortable","student","40.59229923080076","-98.37370743328515","",
"Marker","","1lTBNHzwpuPB5zANtSlA","This is a go-to hangout spot for me and my friends","student","40.59581817169493","-98.36752109380288","",
"Marker","Kiewit Building","1lTwEsiJgt9W6pNsl9S0","This space feels outdated or run-down","student","40.5905285127086","-98.37329822733689","",
"Marker","Gray Center","1n24dMcgwf1kW9k6EWnl","I would like to use this space more, but it needs improvement","student","40.59551484552156","-98.37302527263881","",
"Marker","","1nyVx7WSJxkhzGLrLzj9","I would like to use this space more, but it needs improvement","student","40.59322238713594","-98.37231293737625","",
"Marker","Taylor Hall Residence","1ppiDDe4lQ26xEIF6ChF","This space feels outdated or run-down","student","40.592654325291704","-98.37457776094637","",
"Marker","Kiewit Building","1q1psxUjkokXcC6eZ7tK","This space feels outdated or run-down","student","40.590398084908315","-98.37317930045283","",
"Marker","Lynn Farrell Arena/Fleharty Educational Center","1qEZrQKhEPWNUZ0k2JhR","I would like to use this space more, but it needs improvement","student","40.595784757431176","-98.37063984121404","",
"Marker","Batchelder Garage","1qfLVmPuC5KZq0KN2Igl","I would like to use this space more, but it needs improvement","student","40.59295547573555","-98.37052153838364","",
"Marker","Lloyd Wilson Field/Stadium","1rKCxNBdQayDaD8ezaOv","I rarely or never use this space","staff","40.59623751522304","-98.36938916084121","",
"Marker","Hayes M. Fuhr Hall of Music","1rkL8kbeTbSj0U1izjHT","I rarely or never use this space","student","40.59484183858763","-98.37184485463455","",
"Marker","Calvin H. French Memorial Chapel ","1rq2dC8Tzn5Kha9Zclog","The lighting or temperature in thei space makes it uncomfortable","student","40.59170600473635","-98.3733229005089","The chapel is beautiful, however the lack of air conditioning in the building makes it difficult especially now that choir is using the space regularly.",
"Marker","Morrison-Reeves Science Center","1ssGtLRE4xTWJxZJlRar","This space feels outdated or run-down","student","40.59126602809971","-98.37205957033198","",
"Marker","Gray Center","1tpD4PHdTEuHsoBykcz2","I would like to use this space more, but it needs improvement","student","40.595605189910145","-98.37306886721589","",
"Marker","706 E. 7th St. Residence","1uN0kn74czuATtVlzHUA","I would like to use this space more, but it needs improvement","student","40.58962998699175","-98.37339426439769","",
"Marker","Hazelrigg Student Union","1vuEQvJTtqbYN0FVEtJu","This is one of my go-to study spots","student","40.5940312236246","-98.37290602719243","",
